field_name,display_label,group,category,category_label,source,data_type,unit,nullable,required,observed_min,observed_max,example_value,null_meaning,description
Overall_Do_not_Work_Working_Status_5_Yearplus_Female,Overall_Do not Work_Working_Status_5 Year+_Female,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,77172,2494084,239412,,Overall_Do not Work_Working_Status_5 Year+_Female
Overall_Do_not_Work_Working_Status_5_Yearplus_Male,Overall_Do not Work_Working_Status_5 Year+_Male,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,79224,2375877,254794,,Overall_Do not Work_Working_Status_5 Year+_Male
Overall_Employed_Working_Status_5_Yearplus,Overall_Employed_Working_Status_5 Year+,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,164770,6034237,491975,,Overall_Employed_Working_Status_5 Year+
Overall_Employed_Working_Status_5_Yearplus_Female,Overall_Employed_Working_Status_5 Year+_Female,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,22518,1253952,65093,,Overall_Employed_Working_Status_5 Year+_Female
Overall_Employed_Working_Status_5_Yearplus_Male,Overall_Employed_Working_Status_5 Year+_Male,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,130799,4780285,426882,,Overall_Employed_Working_Status_5 Year+_Male
Overall_Household_Work_Working_Status_5_Yearplus,Overall_Household Work_Working_Status_5 Year+,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,95751,2554393,456934,,Overall_Household Work_Working_Status_5 Year+
Overall_Household_Work_Working_Status_5_Yearplus_Female,Overall_Household Work_Working_Status_5 Year+_Female,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,90400,2502105,428561,,Overall_Household Work_Working_Status_5 Year+_Female
Overall_Household_Work_Working_Status_5_Yearplus_Male,Overall_Household Work_Working_Status_5 Year+_Male,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,5351,99610,28373,,Overall_Household Work_Working_Status_5 Year+_Male
Overall_Looking_for_work_Working_Status_5_Yearplus,Overall_Looking for work_Working_Status_5 Year+,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,5226,164153,26458,,Overall_Looking for work_Working_Status_5 Year+
Overall_Looking_for_work_Working_Status_5_Yearplus_Female,Overall_Looking for work_Working_Status_5 Year+_Female,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,1373,40875,6933,,Overall_Looking for work_Working_Status_5 Year+_Female
Overall_Looking_for_work_Working_Status_5_Yearplus_Male,Overall_Looking for work_Working_Status_5 Year+_Male,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,3853,123278,19525,,Overall_Looking for work_Working_Status_5 Year+_Male
Overall_Sex_Ratio,Overall_Sex_Ratio,indicator,population_demography,Population & Demography,BBS,decimal,index/ratio,no,no,87,115.6,98.97,,Overall_Sex_Ratio
Overall_Working_Status_5_Yearplus,Overall_Working_Status_5 Year+,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,426433,13622744,1469573,,Overall_Working_Status_5 Year+
Overall_Working_Status_5_Yearplus_Female,Overall_Working_Status_5 Year+_Female,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,207206,6291016,739999,,Overall_Working_Status_5 Year+_Female
Overall_Working_Status_5_Yearplus_Male,Overall_Working_Status_5 Year+_Male,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,219227,7331728,729574,,Overall_Working_Status_5 Year+_Male
Own_dwelling_unit_pct,Own dwelling unit_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,27.51,96.88,91.57,,Own dwelling unit_%
Percent_Returned_Migrant,Percent_Returned_Migrant,indicator,remittance_migration,Remittance & Migration,BBS,decimal,index/ratio,no,no,0.18,8.39,0.63,,Percent_Returned_Migrant
Petrol_Diesel_pct,Petrol/ Diesel_%,indicator,energy_fuel,Energy & Fuel,BBS,decimal,percent,yes,no,0.01,0.04,0.03,blank = value not collected / not available for this geo unit,Petrol/ Diesel_%
Physical_Disability,Physical Disability,indicator,disability,Disability,BBS,integer,count,no,no,2241,26991,9948,,Physical Disability
Pit_Latrine_Without_Slab_Open_Pit_pct,Pit Latrine   Without   Slab/ Open Pit_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,0.47,18.82,4.63,,Pit Latrine   Without   Slab/ Open Pit_%
Pit_Latrine_with_Slab_Ventilated_Improved_Latrine_Composting_Latrine_pct,Pit Latrine with  Slab/ Ventilated  Improved Latrine/  Composting Latrine_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,4.89,55.57,46.67,,Pit Latrine with  Slab/ Ventilated  Improved Latrine/  Composting Latrine_%
Pond_River_Canal_Lake_pct,Pond/River/Canal/Lake_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,yes,no,0.01,21.99,21.99,blank = value not collected / not available for this geo unit,Pond/River/Canal/Lake_%
Population_Excluding_Slum_Floating_Female,Population_Excluding_Slum_Floating_Female,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,234118,6513385,805592,,Population_Excluding_Slum_Floating_Female
Population_Excluding_Slum_Floating_Hijra,Population_Excluding_Slum_Floating_Hijra,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,13,596,70,,Population_Excluding_Slum_Floating_Hijra
Population_Excluding_Slum_Floating_Male,Population_Excluding_Slum_Floating_Male,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,246885,7526709,797464,,Population_Excluding_Slum_Floating_Male
Population_Excluding_Slum_Floating_Total,Population_Excluding_Slum_Floating_Total,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,481016,14040690,1603126,,Population_Excluding_Slum_Floating_Total
Population_Female,Population_Female,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,234146,6833989,810691,,Population_Female
Population_Female_pop,Population_Female_pop,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,234146,6833989,810691,,Population_Female_pop
Population_Floating_Female,Population_Floating_Female,indicator,population_demography,Population & Demography,BBS,integer,count,yes,no,5,1222,61,blank = value not collected / not available for this geo unit,Population_Floating_Female
Population_Floating_Hijra,Population_Floating_Hijra,indicator,population_demography,Population & Demography,BBS,integer,count,yes,no,1,16,1,blank = value not collected / not available for this geo unit,Population_Floating_Hijra
Population_Floating_Male,Population_Floating_Male,indicator,population_demography,Population & Demography,BBS,integer,count,yes,no,10,5239,126,blank = value not collected / not available for this geo unit,Population_Floating_Male
Population_Floating_Total,Population_Floating_Total,indicator,population_demography,Population & Demography,BBS,integer,count,yes,no,15,6477,187,blank = value not collected / not available for this geo unit,Population_Floating_Total
Population_HIES_22,Population_HIES_22,indicator,poverty_vulnerability,Poverty & Vulnerability,BBS,integer,count,no,no,450692,13514349,1582590,,Population_HIES_22
Population_Hijra,Population_Hijra,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,13,677,71,,Population_Hijra
Population_Hijra_pop,Population_Hijra_pop,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,13,677,71,,Population_Hijra_pop
Population_Male,Population_Male,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,246947,7900035,802314,,Population_Male
Population_Male_pop,Population_Male_pop,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,246947,7900035,802314,,Population_Male_pop
Population_Slum_Female,Population_Slum_Female,indicator,population_demography,Population & Demography,BBS,integer,count,yes,no,15,319382,5038,blank = value not collected / not available for this geo unit,Population_Slum_Female
Population_Slum_Hijra,Population_Slum_Hijra,indicator,population_demography,Population & Demography,BBS,integer,count,yes,no,1,104,1,blank = value not collected / not available for this geo unit,Population_Slum_Hijra
Population_Slum_Male,Population_Slum_Male,indicator,population_demography,Population & Demography,BBS,integer,count,yes,no,20,368087,4724,blank = value not collected / not available for this geo unit,Population_Slum_Male
Population_Slum_Total,Population_Slum_Total,indicator,population_demography,Population & Demography,BBS,integer,count,yes,no,35,687534,9763,blank = value not collected / not available for this geo unit,Population_Slum_Total
Population_Total,Population_Total,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,481106,14734701,1613076,,Population_Total
Population_Total_pop,Population_Total_pop,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,481106,14734701,1613076,,Population_Total_pop
Population_Urban_Female,Population_Urban_Female,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,81721,5142726,194312,,Population_Urban_Female
Population_Urban_Hijra,Population_Urban_Hijra,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,3,412,26,,Population_Urban_Hijra
Population_Urban_Male,Population_Urban_Male,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,77150,6094079,190848,,Population_Urban_Male
Population_Urban_Total,Population_Urban_Total,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,158885,11237217,385186,,Population_Urban_Total
Population_rural_Female,Population_rural_Female,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,142020,2661959,616379,,Population_rural_Female
Population_rural_Hijra,Population_rural_Hijra,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,10,265,45,,Population_rural_Hijra
Population_rural_Male,Population_rural_Male,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,144657,2280842,611466,,Population_rural_Male
Population_rural_Total,Population_rural_Total,indicator,population_demography,Population & Demography,BBS,integer,count,no,no,286687,4942936,1227890,,Population_rural_Total
Pucca_pct,Pucca_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,2.09,67.83,11.56,,Pucca_%
Quintile_HIES_22,Quintile HIES_22,indicator,poverty_vulnerability,Poverty & Vulnerability,BBS,text,category,no,no,,,Low(Q2),,Quintile HIES_22
Rain_Water_pct,Rain Water_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,yes,no,0.05,16.74,16.74,blank = value not collected / not available for this geo unit,Rain Water_%
Raw_Open_Hanging_Latrine_Permanent_Temporary_pct,Raw/Open/ Hanging Latrine (Permanent/ Temporary)_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,0.17,16.74,1.7,,Raw/Open/ Hanging Latrine (Permanent/ Temporary)_%
Rent_free_and_having_no_own_dwelling_unit_elsewhere_pct,Rent free and having no own dwelling unit elsewhere_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,0.45,9.82,1.56,,Rent free and having no own dwelling unit elsewhere_%
Rent_free_but_having_own_dwelling_unit_elsewhere_pct,Rent free but having own dwelling unit elsewhere_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,0.19,1.34,0.62,,Rent free but having own dwelling unit elsewhere_%
Rented_and_having_no_own_dwelling_unit_pct,Rented and having no own dwelling unit_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,0.28,13.39,1.4,,Rented and having no own dwelling unit_%
Rented_but_having_own_dwelling_unit_elsewhere_pct,Rented but having own dwelling unit elsewhere_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,1.26,57.07,4.86,,Rented but having own dwelling unit elsewhere_%
Rural_Avg._Population_Growth,Rural_Avg._Population Growth,indicator,population_demography,Population & Demography,BBS,decimal,index/ratio,no,no,-2.23,2.21,-0.37,,Rural_Avg._Population Growth
Rural_Child-Woman_Ratio,Rural_Child-Woman Ratio,indicator,population_demography,Population & Demography,BBS,decimal,index/ratio,no,no,249.64,474.7,321.85,,Rural_Child-Woman Ratio
Rural_Dependeny_Ratio,Rural_Dependeny_Ratio,indicator,population_demography,Population & Demography,BBS,decimal,index/ratio,no,no,40.15,74.29,50.77,,Rural_Dependeny_Ratio
Rural_HH_Remittance_num,Rural_HH_Remittance #,indicator,remittance_migration,Remittance & Migration,BBS,integer,count,no,no,1543,375176,9102,,Rural_HH_Remittance #
Rural_Literacy_Rate_5yearplus_Female,Rural_Literacy Rate_5year+_Female,indicator,literacy_education,Literacy & Education,BBS,decimal,percent,no,no,48.66,83.92,79.47,,Rural_Literacy Rate_5year+_Female
Rural_Literacy_Rate_5yearplus_Male,Rural_Literacy Rate_5year+_Male,indicator,literacy_education,Literacy & Education,BBS,decimal,percent,no,no,59.32,84.41,81.57,,Rural_Literacy Rate_5year+_Male
Rural_Literacy_Rate_5yearplus_Overall,Rural_Literacy Rate_5year+_Overall,indicator,literacy_education,Literacy & Education,BBS,decimal,percent,no,no,54.03,84.16,80.51,,Rural_Literacy Rate_5year+_Overall
Rural_Literacy_Rate_7yearplus_Female,Rural_Literacy Rate_7year+_Female,indicator,literacy_education,Literacy & Education,BBS,decimal,percent,no,no,49.25,84.49,80.03,,Rural_Literacy Rate_7year+_Female
Rural_Literacy_Rate_7yearplus_Male,Rural_Literacy Rate_7year+_Male,indicator,literacy_education,Literacy & Education,BBS,decimal,percent,no,no,60.65,85.2,82.31,,Rural_Literacy Rate_7year+_Male
Rural_Literacy_Rate_7yearplus_Overall,Rural_Literacy Rate_7year+_Overall,indicator,literacy_education,Literacy & Education,BBS,decimal,percent,no,no,54.99,84.83,81.17,,Rural_Literacy Rate_7year+_Overall
Rural_Sex_Ratio,Rural_Sex_Ratio,indicator,population_demography,Population & Demography,BBS,decimal,index/ratio,no,no,85.68,106.78,99.2,,Rural_Sex_Ratio
Rural_Toilet_Not-Toilet_Shared_pct,Rural_Toilet_Not-Toilet_Shared_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,59.67,90.69,88.21,,Rural_Toilet_Not-Toilet_Shared_%
Rural_Toilet_Shared_pct,Rural_Toilet_Shared_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,9.31,40.33,11.79,,Rural_Toilet_Shared_%
SCP,SCP,indicator,brac_programmes,BRAC Programmes (Response),BRAC Bangladesh,integer,count,yes,no,8,7198,4362,"blank = programme NOT active in this geo unit (not 'zero', not 'missing')",SCP
SDP,SDP,indicator,brac_programmes,BRAC Programmes (Response),BRAC Bangladesh,integer,count,yes,no,50,11717,419,"blank = programme NOT active in this geo unit (not 'zero', not 'missing')",SDP
SELP,SELP,indicator,brac_programmes,BRAC Programmes (Response),BRAC Bangladesh,integer,count,yes,no,20252,51806,45035,"blank = programme NOT active in this geo unit (not 'zero', not 'missing')",SELP
Safe_Disposal_with_Flushing_Pouring_Water_pct,Safe Disposal with Flushing/ Pouring Water_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,23.4,86.67,36.39,,Safe Disposal with Flushing/ Pouring Water_%
Semi-pucca_pct,Semi-pucca_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,6.83,43.29,12.9,,Semi-pucca_%
Soap_and_Water_pct,Soap & Water_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,34.88,88.98,69.54,,Soap & Water_%
Soil_Mud_Wall_pct,Soil/ Mud_Wall_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,0.02,43.85,0.76,,Soil/ Mud_Wall_%
Soil_Sand_Mud_floor_pct,Soil/Sand/Mud_floor_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,3.23,77.73,68.91,,Soil/Sand/Mud_floor_%
Solar_Power_pct,Solar Power_%,indicator,energy_fuel,Energy & Fuel,BBS,decimal,percent,no,no,0.05,42.84,0.97,,Solar Power_%
Speech_Disability,Speech Disability,indicator,disability,Disability,BBS,integer,count,no,no,627,9505,2305,,Speech Disability
Spring_pct,Spring_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,yes,no,0.02,16.21,16.21,blank = value not collected / not available for this geo unit,Spring_%
Std_Error_pct_HIES_22,Std_Error (%) HIES_22,indicator,poverty_vulnerability,Poverty & Vulnerability,BBS,decimal,percent,no,no,0.7,5.9,1.8,,Std_Error (%) HIES_22
Straw_Chhan_Golpata_Palm_Leaf_Bichali_Polythene_Wall_pct,Straw/ Chhan/Golpata/Palm Leaf/Bichali/Polythene_Wall_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,0.03,1.74,1.63,,Straw/ Chhan/Golpata/Palm Leaf/Bichali/Polythene_Wall_%
Straw_Leaf_Bran_Husk_pct,Straw/ Leaf/ Bran/ Husk_%,indicator,energy_fuel,Energy & Fuel,BBS,decimal,percent,no,no,0.36,51.11,1.37,,Straw/ Leaf/ Bran/ Husk_%
Supply_Gas_pct,Supply Gas_%,indicator,energy_fuel,Energy & Fuel,BBS,decimal,percent,yes,no,0.01,69.17,1.11,blank = value not collected / not available for this geo unit,Supply Gas_%
TBCP,TBCP,indicator,brac_programmes,BRAC Programmes (Response),BRAC Bangladesh,integer,count,yes,no,11899,243885,37929,"blank = programme NOT active in this geo unit (not 'zero', not 'missing')",TBCP
Tap_pipe_Supply_pct,Tap/pipe (Supply)_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,0.31,61.5,3.7,,Tap/pipe (Supply)_%
Tiles_Mosaic_floor_pct,Tiles/Mosaic_floor_%,indicator,housing_quality,Housing Quality,BBS,decimal,percent,no,no,0.61,22.54,2.06,,Tiles/Mosaic_floor_%
Toilet_Not-Toilet_Shared_pct,Toilet_Not-Toilet_Shared_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,55.44,90.65,87.32,,Toilet_Not-Toilet_Shared_%
Toilet_Shared_pct,Toilet_Shared_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,9.35,44.56,12.68,,Toilet_Shared_%
Total_pct,Total_%,indicator,population_demography,Population & Demography,BBS,decimal,percent,no,no,100,100,100,,Total_%
Total_Agriculture,Total_Agriculture,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,55376,747681,247483,,Total_Agriculture
Total_Apprenticeship,Total_Apprenticeship,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,5057,76537,21746,,Total_Apprenticeship
Total_Brac_Reach,Total_Brac_Reach,indicator,brac_programmes,BRAC Programmes (Response),BRAC Bangladesh,integer,count,no,no,93429,1380091,496767,,Total_Brac_Reach
Total_Employed_Population,Total_Employed_Population,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,164770,6034237,491975,,Total_Employed_Population
Total_Employed_Population_WorkType,Total_Employed_Population_WorkType,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,164770,6034237,491975,,Total_Employed_Population_WorkType
Total_Female_Student_5-29_years,Total_Female_Student_5-29 years,indicator,literacy_education,Literacy & Education,BBS,integer,count,no,no,59915,1558110,180346,,Total_Female_Student_5-29 years
Total_HH_num,Total_HH #,indicator,household_structure,Household Structure,BBS,integer,count,no,no,102289,3737085,406373,,Total_HH #
Total_HH_Remittance_num,Total_HH_Remittance #,indicator,household_structure,Household Structure,BBS,integer,count,no,no,2017,441125,13393,,Total_HH_Remittance #
Total_Household_Use_Consumption,Total_Household Use/Consumption,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,22680,307741,70597,,Total_Household Use/Consumption
Total_Industry,Total_Industry,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,8058,1967797,61042,,Total_Industry
Total_Male_Student_5-29_years,Total_Male_Student_5-29 years,indicator,literacy_education,Literacy & Education,BBS,integer,count,no,no,65206,1874793,195106,,Total_Male_Student_5-29 years
Total_Persons_With_Disability,Total_Persons_With_Disability,indicator,disability,Disability,BBS,integer,count,no,no,7357,107539,26728,,Total_Persons_With_Disability
Total_Profit,Total_Profit,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,28936,1116747,121598,,Total_Profit
Total_Salary_Wage,Total_Salary/Wage,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,84066,4717723,278034,,Total_Salary/Wage
Total_Service,Total_Service,indicator,employment_work,Employment & Work,BBS,integer,count,no,no,63202,3785831,183450,,Total_Service
Tube-well_Deep_Shallow_pct,Tube-well (Deep/Shallow)_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,37.75,99.64,53.08,,Tube-well (Deep/Shallow)_%
UDP,UDP,indicator,brac_programmes,BRAC Programmes (Response),BRAC Bangladesh,integer,count,yes,no,467,258536,5398,"blank = programme NOT active in this geo unit (not 'zero', not 'missing')",UDP
UPGP,UPGP,indicator,brac_programmes,BRAC Programmes (Response),BRAC Bangladesh,integer,count,yes,no,1271,5423,3723,"blank = programme NOT active in this geo unit (not 'zero', not 'missing')",UPGP
Unemployment_Rate_Overall_calculated,Unemployment Rate_Overall_calculated*,indicator,employment_work,Employment & Work,BBS,decimal,percent,no,no,1.6549,9.4839,5.1035,,Unemployment Rate_Overall_calculated*
Unsafe_Disposal_with_Flushing_Pouring_Water_pct,Unsafe Disposal   with Flushing/   Pouring Water_%,indicator,wash,WASH (Water & Sanitation),BBS,decimal,percent,no,no,3.94,21.81,10.46,,Unsafe Disposal   with Flushing/   Pouring Water_%
Urban_Avg._Population_Growth,Urban_Avg._Population Growth,indicator,population_demography,Population & Demography,BBS,decimal,index/ratio,no,no,-0.16,10.51,6.04,,Urban_Avg._Population Growth
